from	to
972	1508
972	1510
972	3123
972	6098
972	1520
972	5476
972	712
972	3108
972	3118
972	3119
972	3127
972	5641
972	3122
972	3689
972	1652
972	7852
972	3112
972	3120
972	3113
972	960
972	7124
972	3109
972	26958
972	3115
972	1519
972	1515
972	567
1357	1358
1357	10136
1357	1990
1357	1359
1357	6690
1357	440387
1357	5644
1357	342898
1357	23436
1357	63036
1357	1504
1357	5406
1357	1056
1357	51032
1357	11330
1357	256297
1357	1360
1357	1506
1357	154754
6856	162972
6856	9522
10048	8237
10048	3082
10048	5894
10048	3845
10048	54994
10048	79018
10048	3145
10048	64795
10048	558
10048	10296
10048	57610
10048	4233
10048	4289
10048	51286
10048	54737
10048	4893
10048	3897
10048	2332
10048	953
10048	51646
10048	5361
10048	28996
10048	6654
10048	3265
10048	80232
10048	25852
10048	64777
10048	54514
10048	7189
10048	56413
10048	5901
10048	9149
920	3937
920	634
920	30009
920	3902
920	3560
920	9978
920	3002
920	1445
920	55824
920	8797
920	7040
920	1440
920	6347
920	952
920	3558
920	3732
920	6688
920	3587
920	969
920	3458
920	2597
920	3820
920	3565
920	3567
920	6500
920	6402
920	335
920	1843
920	22914
920	196
920	1211
920	5335
920	8744
920	970
920	1236
920	968
920	684
920	1401
920	6366
920	7097
920	6386
920	945
920	2775
920	84174
920	3682
920	5588
920	3553
920	4065
920	975
920	6403
920	3574
920	943
920	5290
920	867
920	941
920	59067
920	6774
920	3383
920	7535
920	64083
920	23291
920	2028
920	3700
920	939
920	2212
920	3001
920	3578
920	3439
920	3606
920	7292
920	7070
920	1436
920	10563
920	3815
920	909
920	5304
920	9437
920	643
920	729230
920	1234
920	1173
920	6777
920	7412
920	50852
920	213
920	1230
920	308
920	3600
920	3673
920	7098
920	1437
920	5896
920	6778
920	915
920	3603
920	1493
920	3596
920	3627
920	3575
920	6504
920	3576
920	6363
920	1212
920	947
920	6578
920	84868
920	924
920	51311
920	8639
920	2771
920	30835
920	79966
920	29851
920	80381
920	23765
920	940
920	8454
920	6097
920	1435
920	5034
920	3563
920	8784
920	926
920	10320
920	6401
920	942
920	3916
920	151888
920	54331
920	5133
920	112744
920	3932
920	50615
920	9402
920	3117
920	23308
920	85480
920	5781
920	6614
920	5747
920	6776
920	921
920	2770
920	1235
920	3605
920	1861
920	2534
920	2335
920	8764
920	355
920	3683
920	383
920	10219
920	60
920	9034
920	10803
920	1524
920	2213
920	6364
920	7415
920	160
920	9332
920	26191
920	3123
920	7037
920	6693
920	1803
920	54106
920	6772
920	916
920	919
920	4283
920	7096
920	5867
920	1380
920	7432
920	5996
920	356
920	2214
920	1314
920	913
920	910
920	911
920	912
920	2209
920	914
920	965
920	2316
920	2773
920	8945
920	959
920	953
920	958
920	6714
920	2833
920	7099
920	3561
920	1043
920	3108
920	3118
920	3119
920	3127
920	6850
920	10673
920	50943
920	3107
920	4340
920	9308
920	7293
920	2625
920	3559
920	85363
920	3456
920	51284
920	3662
920	6382
920	90865
920	29126
920	3824
920	6775
920	3122
920	27040
920	3965
920	2919
920	6387
920	3676
920	3630
920	80380
920	4155
920	604
920	60489
920	3569
920	50489
920	925
920	7852
920	10333
920	3112
920	3120
920	5777
920	3113
920	10663
920	5551
920	960
920	3702
920	7124
920	3109
920	5795
920	6464
920	4615
920	4049
920	7148
920	3115
920	5788
920	3586
920	1238
920	28988
920	30816
920	6452
920	3620
920	917
920	834
920	2215
920	27087
920	930
920	3821
920	375
920	1232
920	3684
920	50616
920	1649
920	9051
920	567
920	3687
920	4360
920	5175
920	11184
920	3594
920	7409
920	147664
920	51497
920	6352
920	6348
920	5897
920	3604
920	2781
920	4684
920	100528032
920	2782
920	6351
920	388372
920	962
10867	10077
54814	93436
5536	5594
5536	11140
5536	2908
5536	10131
5536	5894
5536	3845
5536	10574
5536	8924
5536	51588
5536	5595
5536	4683
5536	255626
5536	908
5536	472
5536	22948
5536	26353
5536	10694
5536	673
5536	3017
5536	369
5536	7203
5536	7248
5536	10576
5536	5481
5536	7334
5536	6950
5536	26973
5536	165918
5536	56984
5536	8624
5536	3320
5536	10524
5536	4137
5536	2100
5536	85236
5536	10963
5536	4217
5536	8290
5536	9531
5536	8349
5536	4893
5536	3326
5536	7529
5536	9025
5536	9656
5536	8340
5536	10111
5536	7158
5536	7341
5536	10575
5536	8844
5536	2099
5536	3265
5536	7336
5536	3297
5536	3312
5536	3014
5536	2289
5536	8970
5536	8348
5536	8342
5536	8345
5536	54145
5536	10728
5536	3018
5536	8341
55148	4678
55148	197131
55148	8356
55148	23304
55148	23352
55148	130507
55148	8350
11183	7132
11183	7186
11183	1398
11183	4296
11183	8717
11183	4217
11183	6885
11183	2885
11183	4214
11183	7124
11185	15
11185	4128
11185	4129
11185	1644
11185	26
11185	3620
11185	169355
2067	5982
2067	328
2067	4913
2067	5438
2067	6119
2067	27339
2067	2178
2067	4292
2067	4436
2067	2956
2067	51426
2067	10038
2067	548593
2067	6117
2067	1022
2067	902
2067	1643
2067	51455
2067	3364
2067	83990
2067	2968
2067	11073
2067	580
2067	4331
2067	23186
2067	7515
2067	3978
2067	10714
2067	1161
2067	4437
2067	4683
2067	5395
2067	2965
2067	57697
2067	1956
2067	472
2067	7508
2067	2071
2067	2177
2067	2176
2067	84464
2067	7486
2067	6240
2067	1642
2067	2237
2067	4968
2067	57599
2067	80198
2067	126074
2067	116028
2067	2072
2067	55215
2067	5883
2067	5591
2067	7298
2067	80010
2067	348654
2067	5426
2067	84126
2067	11284
2067	2966
2067	79008
2067	2188
2067	85015
2067	128710
2067	55775
2067	10524
2067	10166
2067	7398
2067	7874
2067	545
2067	641
2067	2073
2067	27030
2067	2074
2067	79840
2067	5887
2067	56949
2067	1763
2067	5893
2067	5980
2067	2547
2067	22909
2067	7150
2067	9937
2067	9156
2067	142
2067	29089
2067	64858
2067	1069
2067	6118
2067	7507
2067	8451
2067	64421
2067	2189
2067	10111
2067	675
2067	5810
2067	7158
2067	5888
2067	2175
2067	57654
2067	2068
2067	7520
2067	144715
2067	146956
2067	2187
2067	125150
2067	5932
2067	23028
2067	8450
2067	55120
2067	1111
2067	51317
2067	5424
2067	5378
2067	64210
2067	672
2067	7518
2067	5884
2067	6917
2067	353497
2067	7156
2067	2967
2067	7517
2067	197342
2067	10849
2067	5886
2067	100533467
2067	404672
2067	83695
2067	5430
2067	3981
9052	1973
9052	2912
50865	2359
1355	7384
1355	1337
1355	1340
1355	6341
1355	51204
1355	10063
1355	1352
1355	6389
1355	7385
1355	1339
1355	4724
1355	1353
1355	7386
1355	54205
1355	7388
1355	4728
1355	1537
1355	9377
1355	55967
1355	29796
1355	4697
1355	90639
1355	4512
1355	4519
1355	28958
1355	4513
1355	4514
1355	388753
1355	5498
1355	6834
1355	84701
1355	27089
1355	100303755
1355	116228
1355	617
1355	2232
1355	91647
1355	1349
1355	285521
1355	1350
1355	7381
1355	9997
1355	84987
1355	1327
1355	5018
54860	55365
84220	8028
84220	3842
84220	23426
84220	7514
84220	5901
64132	11285
64132	1634
64132	1463
64132	64131
64132	2817
64132	1462
64132	26229
64132	221914
64132	6383
64132	1464
64132	633
64132	63827
64132	9672
64132	54716
64132	2135
64132	2239
64132	6385
64132	3339
64132	10082
64132	2262
64132	126792
64132	375790
64132	6382
64132	10675
64132	2885
64132	2719
64132	8703
6344	6343
6344	10268
6344	54331
6344	7432
6344	2778
6344	2691
6344	2641
6344	185
6344	116
6344	2782
10928	55770
10928	1211
10928	6237
10928	5880
10928	3845
10928	22800
10928	891
10928	11014
10928	5899
10928	22808
10928	1173
10928	382
10928	5881
10928	1212
10928	10945
10928	55589
10928	3320
10928	5879
10928	9185
10928	160
10928	149371
10928	1314
10928	4893
10928	983
10928	998
10928	22848
10928	11015
10928	85021
10928	387
10928	29924
10928	3265
10928	9266
10928	375
5662	382
5662	3775
5662	23761
5662	87
57586	6616
57586	6252
57586	9378
57586	387890
57586	84958
57586	112476
11136	6519
11136	6505
11136	326
11136	340024
11136	6520
11136	6512
9821	11345
9821	128866
9821	7249
9821	22863
9821	10113
9821	5289
9821	55062
9821	6009
9821	10325
9821	6598
9821	23710
9821	81631
9821	7157
9821	29982
9821	83734
9821	64422
9821	26100
9821	55255
9821	7248
9821	11337
9821	57521
9821	84938
9821	8408
9821	89849
9821	10871
9821	29110
9821	60673
9821	5747
9821	10533
9821	7405
9821	30849
9821	440738
9821	55102
9821	2475
9821	8678
9821	9474
9821	64121
9821	84557
9821	65018
9821	23130
9821	8878
9821	84335
9821	55054
9821	8655
9821	9706
9821	8887
9821	2185
9821	23192
9821	140775
9821	79065
9821	10241
9821	25989
9821	9236
9821	3925
9821	9140
9821	55626
9821	9776
9821	64223
9821	140735
9821	203228
11215	5576
11215	8826
11215	10788
11215	2932
11215	79191
11215	5501
11215	5567
11215	153572
11215	5573
11215	9465
11215	144809
11215	8165
11215	50805
9091	9488
9091	5283
9091	10423
9091	9487
9091	482
9091	100996939
9091	51604
9091	93210
9091	8818
9091	8733
9091	23556
9091	5279
9091	93183
9091	10026
9091	8813
9091	55650
9091	8869
9091	84720
9091	5277
9091	80235
9091	54872
9091	51227
9091	84992
9091	284098
1015	7414
1015	10562
1015	6615
1015	6939
1015	3958
1015	999
1015	8312
1015	3682
1015	421
1015	9828
1015	3791
1015	2064
1015	1956
1015	7082
1015	2697
1015	4041
1015	290
1015	1495
1015	1501
1015	344561
1015	5663
1015	11187
1015	1003
1015	1499
1015	302
1015	2335
1015	100506658
1015	10219
1015	5802
1015	5770
1015	6714
1015	2017
1015	1832
1015	2235
1015	50937
1015	3728
1015	1500
1015	1496
1015	29119
1015	387
1015	6464
1015	64084
1015	55591
1015	207
1015	5175
1015	5797
11285	1634
11285	1463
11285	64131
11285	2817
11285	1462
11285	26229
11285	80146
11285	221914
11285	6383
11285	113189
11285	1464
11285	633
11285	63827
11285	9672
11285	148789
11285	2239
11285	6385
11285	3339
11285	10082
11285	2262
11285	126792
11285	375790
11285	6382
11285	10675
11285	2719
51306	80230
51306	255426
54480	1634
54480	1463
54480	22856
54480	1462
54480	337876
54480	1464
54480	633
54480	63827
54480	8707
54480	55454
54480	10675
54480	55790
54480	4123
57554	81
57554	3845
57554	2893
57554	2905
57554	50944
57554	2891
57554	1501
57554	1861
57554	1739
57554	60313
57554	4893
57554	2902
57554	51249
57554	6714
57554	1741
57554	1740
57554	4868
57554	2903
57554	815
57554	1742
57554	8831
57554	3265
57554	2890
57554	149483
57554	88
57554	2904
57554	2892
11345	128866
11345	79735
11345	22863
11345	5289
11345	55062
11345	25978
11345	7879
11345	23710
11345	81631
11345	83734
11345	64422
11345	5192
11345	26100
11345	23001
11345	79443
11345	92421
11345	2861
11345	11337
11345	5566
11345	84971
11345	79643
11345	84938
11345	29082
11345	8408
11345	10871
11345	23265
11345	60673
11345	94241
11345	10533
11345	7405
11345	79876
11345	30849
11345	440738
11345	2475
11345	8678
11345	664
11345	5710
11345	9474
11345	5567
11345	115201
11345	58476
11345	84557
11345	65018
11345	29979
11345	4943
11345	5568
11345	139341
11345	10133
11345	51569
11345	665
11345	8878
11345	55054
11345	9706
11345	8887
11345	91782
11345	23192
