mesh_code	max_phase
D008558	4
D000069287	4
D015255	4
D007069	4
D005474	4
D008942	4
D000077384	4
D017239	4
D000077143	4
D000077341	4
D043343	4
D013852	4
D011800	4
C430592	4
D000080044	4
C485206	4
D008777	4
D000077603	4
C490954	4
C500026	4
C509653	4
C509657	4
C008958	4
D042724	4
C000705452	4
C000589651	4
C586365	4
C487932	4
C000590451	4
C585539	4
C000608132	4
C016131	4
C004648	4
C010792	4
C074283	4
C007630	4
C000614160	4
C000617981	4
C043436	4
C008580	4
C481039	4
